category;items
aliments et boissons à base de végétaux;78938
aliments d'origine végétale;67355
snacks;43291
boissons;37609
snacks sucrés;36661
produits laitiers;28870
viandes;28385
plats préparés;24690
aliments à base de fruits et de légumes;24593
céréales et pommes de terre;22170
produits fermentés;21381
produits laitiers fermentés;21142
produits à tartiner;19211
biscuits et gâteaux;18630
charcuteries;16887
epicerie;15987
petit déjeuners;15672
fromages;15037
céréales et dérivés;14328
fruits et produits dérivés;14132
desserts;13159
boissons à base de végétaux;12942
produits à tartiner sucrés;11242
sauces;10761
produits de la mer;10434
surgelés;9414
confiseries;9301
conserves;9170
légumes et dérivés;9068
pâtes à tartiner végétales;8651
poissons;8567
boissons alcoolisées;8208
biscuits;8171
volailles;7497
boissons aux fruits;7475
produits à la viande;7363
chocolats;7057
matières grasses;6980
fromages de france;6620
condiments;6606
snacks salés;6595
gâteaux;6562
jus et nectars;6484
confitures et marmelades;6130
boissons avec sucre ajouté;5761
produits déshydratés;5664
frais;5620
yaourts;5579
plats préparés à la viande;5573
pains;5536
confitures;5530
apéritif;5388
fromages de vache;5369
poulets;5322
produits à tartiner salés;5320
confitures de fruits;5066
fruits à coques et dérivés;5046
fruit juices and nectars;4912
édulcorants;4900
jus de fruits;4796
aliments à base de plantes en conserve;4677
légumineuses et dérivés;4500
boissons chaudes;4379
produits d'élevages;4362
pâtes alimentaires;4244
matières grasses végétales;4212
vins;4206
graines;3912
aliments à base de plantes séchées;3652
huiles;3615
jambons;3601
viennoiseries;3504
produits de la ruche;3497
céréales pour petit déjeuner;3462
pâtisseries;3459
légumineuses;3408
desserts glacés;3276
fromages à pâte pressée cuite;3275
produits de l'olivier;3267
miels;3146
desserts lactés;3128
confiseries chocolatées;3119
chocolats noirs;3108
chips et frites;3090
soupes;3055
légumes en conserve;2977
fruits à coques;2963
fruits secs;2912
boissons sans sucre ajouté;2878
saucisses;2845
plats préparés au poisson;2806
glaces et sorbets;2774
fruits;2756
bonbons;2721
chips;2680
boissons gazeuses;2628
saucissons;2627
poissons et viandes et oeufs;2501
biscuits au chocolat;2401
plats à base de pâtes;2357
sirops;2349
plats préparés à réchauffer au micro ondes;2343
pizzas tartes salées et quiches;2337
bières;2328
labeled cheeses;2325
poissons en conserve;2325
thés;2302
aoc cheeses;2302
compotes;2287
laits;2283
plats à la volaille;2282
confitures de fruits rouges;2209
filets de poulet;2174
céréales en grains;2140
produits lyophilisés à reconstituer;2128
bonbons de chocolat;2126
vins français;2118
huiles d'olive;2082
jambons blancs;2058
jus de fruits pur jus;2025
sodas;2020
foies gras;1998
chocolats au lait;1991
cafés;1985
glaces;1954
plats préparés surgelés;1953
yaourts aux fruits;1923
moutardes;1914
terrines;1898
barres;1898
infusions;1872
salades;1863
pickles;1844
rillettes;1844
foies gras de canard;1839
matières grasses à tartiner;1818
tartes;1785
pickles d'origine végétale;1782
poissons fumés;1771
comté;1767
pâtes sèches;1760
fromages pasteurisés;1753
fromages à pâte pressée non cuite;1737
légumes préparés;1711
thons;1708
brioches;1703
boissons sans alcool;1681
préparations de poisson;1680
réfrigérés;1671
epices;1666
compléments alimentaires;1654
aliments et boissons de noël;1654
boissons édulcorées;1650
charcuteries diverses;1631
saumons;1626
saucisses françaises;1624
sauces tomate;1620
sirops aromatisés;1617
biscuits apéritifs;1611
huiles d'olive vierges extra;1584
sandwichs;1577
flocons;1568
pizzas;1565
aliments pour bébé;1561
flocons de céréales;1557
bœuf;1551
compotes de pomme;1539
salades composées;1525
dindes;1524
filets de poissons;1511
pâtes à tartiner;1488
soupes de légumes;1485
tomates et dérivés;1484
légumineuses en conserve;1477
fromages italiens;1476
aliments à base de plantes frais;1457
eaux;1452
plats préparés frais;1403
plantes condimentaires;1395
graines de légumineuses;1384
preparations made from fish meat;1382
gâteaux au chocolat;1375
biscuits sablés;1367
matières grasses animales;1357
fromages à pâte molle à croûte fleurie;1335
légumes secs;1331
substitut du lait;1329
chips de pommes de terre;1320
boissons végétales;1317
porc;1315
madeleines;1308
mueslis;1290
nectars de fruits;1263
plats au poulet;1261
plats préparés en conserve;1258
milkfat;1258
plats au bœuf;1254
saucissons secs;1254
beurres;1250
produits laitiers à tartiner;1250
sardines;1217
plats préparés réfrigérés;1211
jambons crus;1208
vinaigres;1197
riz;1187
aliments à base de plantes surgelés;1186
pâtes farcies;1184
jus d'orange;1178
œufs;1175
olives;1169
boissons instantanées;1164
produits panés;1160
emmentals;1158
saumons fumés;1151
farines;1141
sardines en conserve;1134
légumes frais;1127
pâtes de blé;1126
jus de pomme;1076
mayonnaises;1075
boissons lactées;1067
pâtes de blé dur;1040
cream cheeses;1026
charcuteries cuites;1021
eaux de sources;1011
foies gras entiers;993
jambons secs;968
cookies;968
crèmes glacées en pot;962
mélanges de flocons de céréales;955
plats au porc;953
légumes feuilles;946
crêpes et galettes;943
escalopes de dinde;938
fromages de chèvre;933
vins rouges;931
cuisses de poulet;923
légumes surgelés;921
sardines à l'huile;914
pains d'épices;900
crèmes;899
desserts au chocolat;897
aides culinaires;895
nouilles;881
pâtés végétaux;881
fromages de brebis;873
plats à base de riz;870
rillettes de viande;867
laits homogénéisés;862
pains de mie;855
confitures de fraises;854
laits demi écrémés;849
produits artisanaux;849
laits uht;848
miels de fleurs;847
eaux minérales;835
barres chocolatées;834
fromages au lait cru;832
yaourts natures;828
substituts de viande;827
chips de pommes de terre à l'huile de tournesol;825
plats préparés d'origine végétale;823
confiseries de noël;819
pâtes à tartiner au chocolat;818
rillettes de poissons;815
crèmes dessert;815
fromages blancs;805
sucres;801
fruits tropicaux;801
biscuits fourrés;792
farines de céréales;777
beignets sucrés;777
amandes;776
jus multifruits;771
steaks de bœuf;766
préparations de viande;766
champignons et produits dérivés;763
steaks;761
cafés en dosettes;752
bonbons gélifiés;752
pains spéciaux;752
poulets cuisinés;750
veloutés;748
steaks hachés;745
steaks de bœuf hachés;735
pâtes à tartiner aux noisettes;733
sorbets;726
yaourts sucrés;722
bières blondes;717
riz long grain;713
bloc de foie gras;712
additifs alimentaires;712
tartes sucrées;707
olives vertes;703
chipolatas;701
boissons fermentées;697
thés verts;697
sauces salades;695
cacaos et chocolats en poudre;695
galettes de céréales soufflées;688
panettone;686
boudins;686
veloutés de légumes;682
confitures d'abricot;681
bouillons;680
purées d'oléagineux;680
thés glacés;679
légumes tiges;679
touron;677
boissons lactées fermentées;674
compléments pour le bodybuilding;672
pains au chocolat;670
plats au canard;670
biscuits secs;666
crustacés;665
ravioli;661
barres de céréales;656
champignons;655
sodas au cola;647
boissons au thé;640
fruits à coques décortiqués;637
pâtés de porc;634
crêpes;634
donuts;631
moulages en chocolat;623
alcools artisanaux;623
sels;614
terrines de campagne;613
viandes fraîches;612
pâtes à tartiner aux noisettes et au cacao;612
jus d'orange pur jus;609
fromages à pâte persillée;604
fromages à pâte filée;602
œufs de poules;601
yaourts brassés;597
jus de fruits à base de concentré;596
aliments de pâques;592
fromages râpés;588
céréales au chocolat;587
sardines à l'huile d'olive;587
pommes de terre préfrites surgelées;583
ketchup;582
rillettes de viande blanche;579
sauces pesto;576
pizzas et tartes surgelées;575
produits de montagne;573
lentilles;572
fruits en conserve;572
sauces pour pâtes;571
pâtés de campagne;571
beurres de fruits à coques;571
rillettes de volaille;571
chewing gum;570
miels français;569
plantes aromatiques;567
yaourts à boire;567
fromages des pays bas;559
taboulés;558
vinaigrettes;557
gaufres;554
thons en conserve;551
sirops simples;549
fromages à tartiner;546
maquereaux;545
tapenades;544
fromages industriels;540
jus de pommes pur jus;539
plats préparés déshydratés;534
tomates;532
soupes de poissons;532
spaghetti;531
gratins;529
purées;527
oignons et dérivés;527
bières artisanales;525
margarines;522
alcools forts;518
chips de pommes de terre aromatisées;516
macarons;512
crevettes;511
bières françaises;509
thons à l'huile;509
galettes des rois;509
tartelettes;506
foies gras de canard entiers;505
yaourts aromatisés;505
non alimentaire;504
yaourts à la grecque;498
beurres demi sel;497
chips de maïs;495
entrées;493
abats;493
mozzarella;487
cidres;485
boudins blancs;484
houmous;482
mollusques;482
chocolats en poudre;481
mueslis aux fruits;479
aiguillettes de poulet;479
pâtes à tarte;477
fromages à pâte persillée français;476
