category;items
aliments et boissons à base de végétaux;79638
aliments d'origine végétale;67974
snacks;43493
boissons;37749
snacks sucrés;36828
produits laitiers;29054
viandes;28513
aliments à base de fruits et de légumes;24947
plats préparés;24829
céréales et pommes de terre;22291
produits fermentés;21530
produits laitiers fermentés;21293
produits à tartiner;19323
biscuits et gâteaux;18712
charcuteries;16974
epicerie;16116
petit déjeuners;15756
fromages;15157
fruits et produits dérivés;14419
céréales et dérivés;14407
desserts;13207
boissons à base de végétaux;13027
produits à tartiner sucrés;11305
sauces;10842
produits de la mer;10476
surgelés;9443
confiseries;9372
conserves;9241
légumes et dérivés;9125
pâtes à tartiner végétales;8711
poissons;8599
boissons alcoolisées;8253
biscuits;8215
volailles;7527
boissons aux fruits;7514
produits à la viande;7401
chocolats;7085
matières grasses;7000
condiments;6663
fromages de france;6641
snacks salés;6627
gâteaux;6583
jus et nectars;6521
confitures et marmelades;6171
boissons avec sucre ajouté;5762
produits déshydratés;5725
frais;5621
plats préparés à la viande;5609
yaourts;5607
pains;5561
confitures;5558
fromages de vache;5464
apéritif;5416
poulets;5345
produits à tartiner salés;5344
confitures de fruits;5095
fruits à coques et dérivés;5066
édulcorants;4922
fruit juices and nectars;4907
jus de fruits;4822
aliments à base de plantes en conserve;4706
légumineuses et dérivés;4524
boissons chaudes;4419
produits d'élevages;4382
pâtes alimentaires;4265
matières grasses végétales;4230
vins;4219
graines;3944
aliments à base de plantes séchées;3704
jambons;3653
huiles;3628
viennoiseries;3522
produits de la ruche;3512
céréales pour petit déjeuner;3480
pâtisseries;3478
légumineuses;3423
fromages à pâte pressée cuite;3329
desserts glacés;3282
produits de l'olivier;3281
miels;3161
confiseries chocolatées;3152
desserts lactés;3143
chocolats noirs;3120
chips et frites;3113
soupes;3082
légumes en conserve;2998
fruits à coques;2972
fruits;2971
fruits secs;2958
boissons sans sucre ajouté;2880
saucisses;2866
plats préparés au poisson;2807
glaces et sorbets;2778
bonbons;2739
chips;2700
saucissons;2642
boissons gazeuses;2638
poissons et viandes et oeufs;2507
biscuits au chocolat;2410
plats à base de pâtes;2372
sirops;2354
plats préparés à réchauffer au micro ondes;2354
bières;2351
pizzas tartes salées et quiches;2347
poissons en conserve;2340
thés;2335
labeled cheeses;2325
plats à la volaille;2303
aoc cheeses;2302
laits;2293
compotes;2293
confitures de fruits rouges;2217
filets de poulet;2182
céréales en grains;2156
bonbons de chocolat;2155
produits lyophilisés à reconstituer;2139
vins français;2127
jambons blancs;2107
huiles d'olive;2087
jus de fruits pur jus;2030
sodas;2028
foies gras;2002
chocolats au lait;2001
cafés;1991
glaces;1956
plats préparés surgelés;1954
yaourts aux fruits;1928
moutardes;1920
barres;1914
terrines;1903
infusions;1883
salades;1876
pickles;1864
rillettes;1848
foies gras de canard;1842
matières grasses à tartiner;1828
pickles d'origine végétale;1801
tartes;1790
poissons fumés;1776
comté;1768
pâtes sèches;1763
fromages pasteurisés;1756
fromages à pâte pressée non cuite;1739
légumes préparés;1716
thons;1715
brioches;1710
préparations de poisson;1692
epices;1690
boissons sans alcool;1682
réfrigérés;1673
compléments alimentaires;1662
aliments et boissons de noël;1661
boissons édulcorées;1652
charcuteries diverses;1637
sauces tomate;1635
saumons;1630
saucisses françaises;1626
sirops aromatisés;1620
biscuits apéritifs;1616
huiles d'olive vierges extra;1590
sandwichs;1584
pizzas;1572
flocons;1567
aliments pour bébé;1563
flocons de céréales;1556
bœuf;1552
compotes de pomme;1545
salades composées;1533
dindes;1528
filets de poissons;1522
tomates et dérivés;1504
soupes de légumes;1495
pâtes à tartiner;1494
fromages italiens;1490
légumineuses en conserve;1481
eaux;1461
aliments à base de plantes frais;1459
plantes condimentaires;1405
plats préparés frais;1403
graines de légumineuses;1395
preparations made from fish meat;1379
gâteaux au chocolat;1378
biscuits sablés;1372
matières grasses animales;1364
fromages à pâte molle à croûte fleurie;1344
légumes secs;1341
substitut du lait;1334
chips de pommes de terre;1332
boissons végétales;1322
porc;1321
madeleines;1311
mueslis;1296
plats préparés en conserve;1285
plats au poulet;1270
nectars de fruits;1270
milkfat;1265
plats au bœuf;1261
saucissons secs;1258
beurres;1257
produits laitiers à tartiner;1257
sardines;1219
plats préparés réfrigérés;1213
jambons crus;1209
vinaigres;1202
riz;1199
aliments à base de plantes surgelés;1194
pâtes farcies;1193
jus d'orange;1181
œufs;1180
olives;1178
boissons instantanées;1169
produits panés;1168
emmentals;1163
farines;1152
saumons fumés;1152
sardines en conserve;1136
pâtes de blé;1130
légumes frais;1128
jus de pomme;1086
mayonnaises;1080
boissons lactées;1071
pâtes de blé dur;1044
cream cheeses;1029
charcuteries cuites;1023
